year,bucket,feature,value,value_norm,weight_default,source_note
2020,health_decadence,cdr_rise,0.028781446807831346,0.05756289361566269,0.18,ONEI 3.13 / vital series in claims; Anuario
2020,health_decadence,mmr_rise,0.2,0.2,0.12,literature (maternal mortality reports); not redistributed
2020,health_decadence,e0_gap,3.0,0.375,0.18,ONEI 3.17; Brønnum-Hansen & Albizu-Campos (2023) cite-only
2020,health_decadence,healthcare_collapse_web,0.35,0.35,0.18,public web / press (Task 2 public_health_signals.md); cite-only
2020,health_decadence,epidemic_pressure_web,0.55,0.55,0.12,public epi reports / WHO / press (Task 2); cite-only
2020,bad_reporting,covid_misuse_ratio_norm,,0.7657757302033369,0.4,official COVID labels vs 2021 all-cause jump / excess bands in claims
2020,bad_reporting,onei_migration_seam_flag,0.2,0.2,0.35,demographics/scripts/onei_audit.py identity; claims migration bridge
2020,bad_reporting,stats_opacity_vs_independents,0.35,0.35,0.25,Albizu reports (cite-only); US CBP and destination lower bounds; onei_audit
2021,ageing,elderly_share_60plus,0.21578913032817237,0.29824275273476986,0.45,ONEI 3.12 / 3.3; claims selectivity.pct_age_60_plus_remaining for late years
2021,ageing,median_age_proxy,40.333333333333336,0.23333333333333356,0.25,claims selectivity (median_age_stayers / leavers); ONEI age stocks
2021,ageing,fertile_women_share_proxy,0.6267474353731121,0.30229604206261795,0.3,ONEI 3.12 / 3.3; selectivity emigrants_age_15_59_pct
2021,health_decadence,imr_rise,0.5217566803907323,0.5217566803907323,0.22,ONEI 3.16; Indicadores demográficos / Anuario
2021,health_decadence,cdr_rise,0.5454545448803161,1.0,0.18,ONEI 3.13 / vital series in claims; Anuario
2021,health_decadence,mmr_rise,0.7,0.7,0.12,literature (maternal mortality reports); not redistributed
2021,health_decadence,e0_gap,6.0,0.75,0.18,ONEI 3.17; Brønnum-Hansen & Albizu-Campos (2023) cite-only
2021,health_decadence,healthcare_collapse_web,0.75,0.75,0.18,public web / press (Task 2 public_health_signals.md); cite-only
2021,health_decadence,epidemic_pressure_web,0.95,0.95,0.12,public epi reports / WHO / press (Task 2); cite-only
2021,bad_reporting,covid_misuse_ratio_norm,,0.5092149958038434,0.4,official COVID labels vs 2021 all-cause jump / excess bands in claims
2021,bad_reporting,onei_migration_seam_flag,0.3,0.3,0.35,demographics/scripts/onei_audit.py identity; claims migration bridge
2021,bad_reporting,stats_opacity_vs_independents,0.5,0.5,0.25,Albizu reports (cite-only); US CBP and destination lower bounds; onei_audit
2022,ageing,elderly_share_60plus,0.223,0.35833333333333345,0.45,ONEI 3.12 / 3.3; claims selectivity.pct_age_60_plus_remaining for late years
2022,ageing,median_age_proxy,41.5,0.35,0.25,claims selectivity (median_age_stayers / leavers); ONEI age stocks
2022,ageing,fertile_women_share_proxy,0.621,0.35454545454545494,0.3,ONEI 3.12 / 3.3; selectivity emigrants_age_15_59_pct
2022,health_decadence,imr_rise,0.4989046466044045,0.4989046466044045,0.22,ONEI 3.16; Indicadores demográficos / Anuario
2022,health_decadence,cdr_rise,0.11182143433751945,0.2236428686750389,0.18,ONEI 3.13 / vital series in claims; Anuario
2022,health_decadence,mmr_rise,0.5,0.5,0.12,literature (maternal mortality reports); not redistributed
2022,health_decadence,e0_gap,5.5,0.6875,0.18,ONEI 3.17; Brønnum-Hansen & Albizu-Campos (2023) cite-only
2022,health_decadence,healthcare_collapse_web,0.7,0.7,0.18,public web / press (Task 2 public_health_signals.md); cite-only
2022,health_decadence,epidemic_pressure_web,0.45,0.45,0.12,public epi reports / WHO / press (Task 2); cite-only
2022,bad_reporting,covid_misuse_ratio_norm,,0.9232150140117129,0.4,official COVID labels vs 2021 all-cause jump / excess bands in claims
2022,bad_reporting,onei_migration_seam_flag,0.85,0.85,0.35,demographics/scripts/onei_audit.py identity; claims migration bridge
2022,bad_reporting,stats_opacity_vs_independents,0.85,0.85,0.25,Albizu reports (cite-only); US CBP and destination lower bounds; onei_audit
2023,ageing,elderly_share_60plus,0.22,0.3333333333333334,0.45,ONEI 3.12 / 3.3; claims selectivity.pct_age_60_plus_remaining for late years
2023,ageing,median_age_proxy,42.666666666666664,0.46666666666666645,0.25,claims selectivity (median_age_stayers / leavers); ONEI age stocks
2023,ageing,fertile_women_share_proxy,0.6,0.5454545454545461,0.3,ONEI 3.12 / 3.3; selectivity emigrants_age_15_59_pct
2023,health_decadence,imr_rise,0.41999999999999993,0.41999999999999993,0.22,ONEI 3.16; Indicadores demográficos / Anuario
2023,health_decadence,cdr_rise,0.14445320952248797,0.28890641904497594,0.18,ONEI 3.13 / vital series in claims; Anuario
2023,health_decadence,mmr_rise,0.45,0.45,0.12,literature (maternal mortality reports); not redistributed
2023,health_decadence,e0_gap,5.0,0.625,0.18,ONEI 3.17; Brønnum-Hansen & Albizu-Campos (2023) cite-only
2023,health_decadence,healthcare_collapse_web,0.8,0.8,0.18,public web / press (Task 2 public_health_signals.md); cite-only
2023,health_decadence,epidemic_pressure_web,0.35,0.35,0.12,public epi reports / WHO / press (Task 2); cite-only
2023,bad_reporting,covid_misuse_ratio_norm,,1.0,0.4,official COVID labels vs 2021 all-cause jump / excess bands in claims
2023,bad_reporting,onei_migration_seam_flag,1.0,1.0,0.35,demographics/scripts/onei_audit.py identity; claims migration bridge
2023,bad_reporting,stats_opacity_vs_independents,0.9,0.9,0.25,Albizu reports (cite-only); US CBP and destination lower bounds; onei_audit
2024,ageing,elderly_share_60plus,0.22,0.3333333333333334,0.45,ONEI 3.12 / 3.3; claims selectivity.pct_age_60_plus_remaining for late years
2024,ageing,median_age_proxy,43.833333333333336,0.5833333333333336,0.25,claims selectivity (median_age_stayers / leavers); ONEI age stocks
2024,ageing,fertile_women_share_proxy,0.6,0.5454545454545461,0.3,ONEI 3.12 / 3.3; selectivity emigrants_age_15_59_pct
2024,health_decadence,imr_rise,0.41999999999999993,0.41999999999999993,0.22,ONEI 3.16; Indicadores demográficos / Anuario
2024,health_decadence,cdr_rise,0.32941136194613696,0.6588227238922739,0.18,ONEI 3.13 / vital series in claims; Anuario
2024,health_decadence,mmr_rise,0.55,0.55,0.12,literature (maternal mortality reports); not redistributed
2024,health_decadence,e0_gap,5.5,0.6875,0.18,ONEI 3.17; Brønnum-Hansen & Albizu-Campos (2023) cite-only
2024,health_decadence,healthcare_collapse_web,0.9,0.9,0.18,public web / press (Task 2 public_health_signals.md); cite-only
2024,health_decadence,epidemic_pressure_web,0.4,0.4,0.12,public epi reports / WHO / press (Task 2); cite-only
2024,bad_reporting,covid_misuse_ratio_norm,,1.0,0.4,official COVID labels vs 2021 all-cause jump / excess bands in claims
2024,bad_reporting,onei_migration_seam_flag,0.7,0.7,0.35,demographics/scripts/onei_audit.py identity; claims migration bridge
2024,bad_reporting,stats_opacity_vs_independents,0.8,0.8,0.25,Albizu reports (cite-only); US CBP and destination lower bounds; onei_audit
2025,ageing,elderly_share_60plus,0.267,0.7250000000000002,0.45,ONEI 3.12 / 3.3; claims selectivity.pct_age_60_plus_remaining for late years
2025,ageing,median_age_proxy,45.0,0.7,0.25,claims selectivity (median_age_stayers / leavers); ONEI age stocks
2025,ageing,fertile_women_share_proxy,0.599,0.5545454545454551,0.3,ONEI 3.12 / 3.3; selectivity emigrants_age_15_59_pct
2025,health_decadence,imr_rise,0.98,0.98,0.22,ONEI 3.16; Indicadores demográficos / Anuario
2025,health_decadence,cdr_rise,0.45943138672977435,0.9188627734595487,0.18,ONEI 3.13 / vital series in claims; Anuario
2025,health_decadence,mmr_rise,0.6,0.6,0.12,literature (maternal mortality reports); not redistributed
2025,health_decadence,e0_gap,6.0,0.75,0.18,ONEI 3.17; Brønnum-Hansen & Albizu-Campos (2023) cite-only
2025,health_decadence,healthcare_collapse_web,0.95,0.95,0.18,public web / press (Task 2 public_health_signals.md); cite-only
2025,health_decadence,epidemic_pressure_web,0.35,0.35,0.12,public epi reports / WHO / press (Task 2); cite-only
2025,bad_reporting,covid_misuse_ratio_norm,,1.0,0.4,official COVID labels vs 2021 all-cause jump / excess bands in claims
2025,bad_reporting,onei_migration_seam_flag,0.65,0.65,0.35,demographics/scripts/onei_audit.py identity; claims migration bridge
2025,bad_reporting,stats_opacity_vs_independents,0.75,0.75,0.25,Albizu reports (cite-only); US CBP and destination lower bounds; onei_audit
